genero,edad,programa,jornada,ocupacion,eps,municipio_direccion,riesgo_%,prioridad,perfil
Masculino,40,04-V Técnico Laboral Auxiliar Análisis de Datos E Inteligencia Artificial (50% Modalidad Distancia),DIURNA,Independiente,Sin registro,Envigado,56.3,Media,Perfil 2
Femenino,15,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Sin registro,EPS Sura,Envigado,56.3,Media,Perfil 2
Masculino,21,14T-TÉCNICO LABORAL EN CONTABILIDAD,DIURNA,Desempleado,SISBEN,Envigado,56.3,Media,Perfil 2
Masculino,17,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,DIURNA,Sin registro,Sin registro,Envigado,56.3,Media,Perfil 1
Masculino,19,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,DIURNA,Sin registro,Sin registro,Envigado,56.3,Media,Perfil 2
Masculino,22,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,DIURNA,Desempleado,Sin registro,Envigado,56.3,Media,Perfil 2
Masculino,22,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,DIURNA,Independiente,EPS Sura,Envigado,56.2,Media,Perfil 2
Masculino,24,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Estudiante superior,EPS Sura,Envigado,56.2,Media,Perfil 1
Masculino,66,29T-TÉCNICO LABORAL EN PANADERIA Y REPOSTERIA,DIURNA,Desempleado,Nueva Promotora de Salud - Nueva EPS,Envigado,56.2,Media,Perfil 3
Masculino,26,18T-TÉCNICO LABORAL EN GASTRONOMÍA,NOCHE,Empleado,EPS Sura,Envigado,56.2,Media,Perfil 2
Masculino,52,14T-TÉCNICO LABORAL EN CONTABILIDAD,NOCHE,Empleado,Salud Total EPS,Envigado,56.2,Media,Perfil 2
Masculino,17,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Sin registro,EPS Sura,Envigado,56.2,Media,Perfil 2
Masculino,28,14T-TÉCNICO LABORAL EN CONTABILIDAD,DIURNA,Desempleado,EPS Sura,Envigado,56.2,Media,Perfil 1
Masculino,26,36T -  TÉCNICO LABORAL EN AUXILIAR ANÁLISIS Y PROGRAMACIÓN DE SOFTWARE,NOCHE,Independiente,EPS Sura,Envigado,56.1,Media,Perfil 1
Masculino,19,36T -  TÉCNICO LABORAL EN AUXILIAR ANÁLISIS Y PROGRAMACIÓN DE SOFTWARE,NOCHE,Desempleado,Nueva Promotora de Salud - Nueva EPS,Envigado,56.1,Media,Perfil 2
Masculino,31,04-V Técnico Laboral Auxiliar Análisis de Datos E Inteligencia Artificial (50% Modalidad Distancia),NOCHE,Desempleado,Sin registro,Envigado,56.1,Media,Perfil 1
